SiteName,JM Stuart OH
SiteLongitude,-80.7000
SiteLatitude,39.8500
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,1.372e+16
2005-02-01,2005-02-28,1.235e+16
2005-03-01,2005-03-31,1.37e+16
2005-04-01,2005-04-30,1.039e+16
2005-05-01,2005-05-31,5.69e+15
2005-06-01,2005-06-30,7.674e+15
2005-07-01,2005-07-31,5.456e+15
2005-08-01,2005-08-31,8.694e+15
2005-09-01,2005-09-30,7.064e+15
2005-10-01,2005-10-31,9.712e+15
2005-11-01,2005-11-30,9.272e+15
2005-12-01,2005-12-31,1.631e+16
2006-01-01,2006-01-31,7.137e+15
2006-02-01,2006-02-28,1.14e+16
2006-03-01,2006-03-31,7.87e+15
2006-04-01,2006-04-30,8.605e+15
2006-05-01,2006-05-31,5.622e+15
2006-06-01,2006-06-30,5.222e+15
2006-07-01,2006-07-31,5.022e+15
2006-08-01,2006-08-31,5.719e+15
2006-09-01,2006-09-30,6.025e+15
2006-10-01,2006-10-31,7.334e+15
2006-11-01,2006-11-30,7.994e+15
2006-12-01,2006-12-31,9.839e+15
2007-01-01,2007-01-31,6.426e+15
2007-02-01,2007-02-28,1.4e+16
2007-03-01,2007-03-31,9.436e+15
2007-04-01,2007-04-30,7.841e+15
2007-05-01,2007-05-31,5.286e+15
2007-06-01,2007-06-30,4.61e+15
2007-07-01,2007-07-31,3.851e+15
2007-08-01,2007-08-31,5.793e+15
2007-09-01,2007-09-30,4.419e+15
2007-10-01,2007-10-31,9.021e+15
2007-11-01,2007-11-30,8.802e+15
2007-12-01,2007-12-31,8.08e+15
2008-01-01,2008-01-31,9.529e+15
2008-02-01,2008-02-29,5.846e+15
2008-03-01,2008-03-31,7.025e+15
2008-04-01,2008-04-30,7.06e+15
2008-05-01,2008-05-31,4.344e+15
2008-06-01,2008-06-30,4.267e+15
2008-07-01,2008-07-31,3.645e+15
2008-08-01,2008-08-31,4.631e+15
2008-09-01,2008-09-30,4.783e+15
2008-10-01,2008-10-31,7.897e+15
2008-11-01,2008-11-30,7.578e+15
2008-12-01,2008-12-31,4.765e+15
2009-01-01,2009-01-31,4.308e+15
2009-02-01,2009-02-28,4.43e+15
2009-03-01,2009-03-31,5.177e+15
2009-04-01,2009-04-30,3.677e+15
2009-05-01,2009-05-31,4.132e+15
2009-06-01,2009-06-30,3.766e+15
2009-07-01,2009-07-31,2.758e+15
2009-08-01,2009-08-31,4.087e+15
2009-09-01,2009-09-30,5.684e+15
2009-10-01,2009-10-31,3.181e+15
2009-11-01,2009-11-30,5.467e+15
2009-12-01,2009-12-31,5.395e+15
2010-01-01,2010-01-31,3.346e+15
2010-02-01,2010-02-28,4.353e+15
2010-03-01,2010-03-31,8.638e+15
2010-04-01,2010-04-30,4.7e+15
2010-05-01,2010-05-31,3.852e+15
2010-06-01,2010-06-30,4.968e+15
2010-07-01,2010-07-31,3.128e+15
2010-08-01,2010-08-31,4.812e+15
2010-09-01,2010-09-30,3.954e+15
2010-10-01,2010-10-31,4.489e+15
2010-11-01,2010-11-30,5.781e+15
2010-12-01,2010-12-31,4.927e+15
2011-01-01,2011-01-31,4.482e+15
2011-02-01,2011-02-28,6.597e+15
2011-03-01,2011-03-31,4.274e+15
2011-04-01,2011-04-30,4.053e+15
2011-05-01,2011-05-31,4.186e+15
2011-06-01,2011-06-30,1.989e+15
2011-07-01,2011-07-31,3.109e+15
2011-08-01,2011-08-31,3.782e+15
2011-09-01,2011-09-30,4.41e+15
2011-10-01,2011-10-31,5.077e+15
2011-11-01,2011-11-30,5.227e+15
2011-12-01,2011-12-31,6.348e+15
2012-01-01,2012-01-31,4.274e+15
2012-02-01,2012-02-29,6.427e+15
2012-03-01,2012-03-31,4.378e+15
2012-04-01,2012-04-30,4.625e+15
2012-05-01,2012-05-31,5.2e+15
2012-06-01,2012-06-30,3.908e+15
2012-07-01,2012-07-31,2.748e+15
2012-08-01,2012-08-31,4.297e+15
2012-09-01,2012-09-30,4.089e+15
2012-10-01,2012-10-31,4.491e+15
2012-11-01,2012-11-30,7.432e+15
2012-12-01,2012-12-31,6.61e+15
2013-01-01,2013-01-31,5.803e+15
2013-02-01,2013-02-28,3.555e+15
2013-03-01,2013-03-31,5.259e+15
2013-04-01,2013-04-30,4.527e+15
2013-05-01,2013-05-31,4.539e+15
2013-06-01,2013-06-30,3.405e+15
2013-07-01,2013-07-31,2.589e+15
2013-08-01,2013-08-31,4.231e+15
2013-09-01,2013-09-30,4.79e+15
2013-10-01,2013-10-31,6.619e+15
2013-11-01,2013-11-30,5.691e+15
2013-12-01,2013-12-31,6.958e+15
2014-01-01,2014-01-31,3.61e+15
2014-02-01,2014-02-28,7.265e+15
2014-03-01,2014-03-31,5.621e+15
2014-04-01,2014-04-30,4.053e+15
2014-05-01,2014-05-31,3.756e+15
2014-06-01,2014-06-30,4.106e+15
2014-07-01,2014-07-31,2.267e+15
2014-08-01,2014-08-31,3.911e+15
2014-09-01,2014-09-30,5.316e+15
2014-10-01,2014-10-31,6.435e+15
2014-11-01,2014-11-30,5.58e+15
2014-12-01,2014-12-31,4.571e+15
2015-01-01,2015-01-31,6.449e+15
2015-02-01,2015-02-28,5.083e+15
2015-03-01,2015-03-31,5.053e+15
2015-04-01,2015-04-30,4.489e+15
2015-05-01,2015-05-31,2.82e+15
2015-06-01,2015-06-30,2.396e+15
